GroNum,PointNum,T,p,CH2O,CH3OH,O2,H2O,N2,Simdata,Runtime,Exptime,ExpUn,Expdata,specie
1,1,800,2000000,0,0.002606,0.000904,0,0.99649,0.001,1.9,1.64625,0.2,0.00184,CH3OH
1,2,850,2000000,0,0.002606,0.000904,0,0.99649,7.76E-04,1.7,1.549411765,0.2,6.03E-04,CH3OH
2,1,810,1013250,0,0.008,0.02,0.0008,0.9712,9.46E-04,1.2,1,0.2,0.004789,CH3OH
2,2,840,1013250,0,0.008,0.02,0.0008,0.9712,9.46E-04,1.2,1,0.2,0.002474,CH3OH
3,1,1009,101325,0.00084,0,0.000545,0.017,0.981615,3.64E-06,0.28,0.125,0.2,0.00054165,CO2
3,2,990,101325,0.00084,0,0.000545,0.017,0.981615,2.10E-06,0.28,0.12755102,0.2,0.00027584,CO2
4,1,1072,101325,0.000745,0,0.0095,0.017,0.972755,1.40E-05,0.2,0.063207547,0.2,0.000563847,CO2
4,2,1053,101325,0.000745,0,0.0095,0.017,0.972755,1.02E-05,0.2,0.05,0.2,0.00021264,CO2
